------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 042A 9E00 EA0E 01
custom name, 96
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 4841
time diff [logger-smartphone](sec), 47
lat, 48.596816
long, -123.144764
accuracy (m), 13.6
------------------------------,--------------------
time,temp
2025-06-25 01:10:01,11.8
2025-06-25 01:15:01,11.6
2025-06-25 01:20:01,11.6
2025-06-25 01:25:01,11.6
2025-06-25 01:30:01,11.5
2025-06-25 01:35:01,11.4
2025-06-25 01:40:01,11.5
2025-06-25 01:45:01,11.6
2025-06-25 01:50:01,11.7
2025-06-25 01:55:01,11.5
2025-06-25 02:00:01,11.4
2025-06-25 02:05:01,11.5
2025-06-25 02:10:01,11.6
2025-06-25 02:15:01,11.6
2025-06-25 02:20:01,11.6
2025-06-25 02:25:01,11.6
2025-06-25 02:30:01,11.5
2025-06-25 02:35:01,11.4
2025-06-25 02:40:01,11.4
2025-06-25 02:45:01,11.4
2025-06-25 02:50:01,11.5
2025-06-25 02:55:01,11.5
2025-06-25 03:00:01,11.5
2025-06-25 03:05:01,11.4
2025-06-25 03:10:01,11.4
2025-06-25 03:15:01,11.3
2025-06-25 03:20:01,11.3
2025-06-25 03:25:01,11.3
2025-06-25 03:30:01,11.2
2025-06-25 03:35:01,11.3
2025-06-25 03:40:01,11.3
2025-06-25 03:45:01,11.3
2025-06-25 03:50:01,11.2
2025-06-25 03:55:01,11.3
2025-06-25 04:00:01,11.3
2025-06-25 04:05:01,11.3
2025-06-25 04:10:01,11.3
2025-06-25 04:15:01,11.3
2025-06-25 04:20:01,11.3
2025-06-25 04:25:01,11.3
2025-06-25 04:30:01,11.2
2025-06-25 04:35:01,11.2
2025-06-25 04:40:01,11.2
2025-06-25 04:45:01,11.2
2025-06-25 04:50:01,11.2
2025-06-25 04:55:01,11.3
2025-06-25 05:00:01,11.2
2025-06-25 05:05:01,11.2
2025-06-25 05:10:01,11.2
2025-06-25 05:15:01,11.3
